sample	srr	r1_barcode_umi	r2_cdna
patient10_T01_CD45	SRR22857631	cd8_fastq_all/patient10_T01_CD45/SRR22857631_patient10_T01_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient10_T01_CD45/SRR22857631_patient10_T01_CD45_CD8_R2_cdna.fastq.gz
patient10_T02_CD45	SRR22857630	cd8_fastq_all/patient10_T02_CD45/SRR22857630_patient10_T02_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient10_T02_CD45/SRR22857630_patient10_T02_CD45_CD8_R2_cdna.fastq.gz
patient11_T0_CD45	SRR22857629	cd8_fastq_all/patient11_T0_CD45/SRR22857629_patient11_T0_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient11_T0_CD45/SRR22857629_patient11_T0_CD45_CD8_R2_cdna.fastq.gz
patient12_T0_CD45	SRR22857628	cd8_fastq_all/patient12_T0_CD45/SRR22857628_patient12_T0_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient12_T0_CD45/SRR22857628_patient12_T0_CD45_CD8_R2_cdna.fastq.gz
patient13_T01_CD45	SRR22857627	cd8_fastq_all/patient13_T01_CD45/SRR22857627_patient13_T01_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient13_T01_CD45/SRR22857627_patient13_T01_CD45_CD8_R2_cdna.fastq.gz
patient13_T02_CD45	SRR22857626	cd8_fastq_all/patient13_T02_CD45/SRR22857626_patient13_T02_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient13_T02_CD45/SRR22857626_patient13_T02_CD45_CD8_R2_cdna.fastq.gz
patient1_T0_CD45	SRR22857625	cd8_fastq_all/patient1_T0_CD45/SRR22857625_patient1_T0_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient1_T0_CD45/SRR22857625_patient1_T0_CD45_CD8_R2_cdna.fastq.gz
patient2_T0_CD45	SRR22857624	cd8_fastq_all/patient2_T0_CD45/SRR22857624_patient2_T0_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient2_T0_CD45/SRR22857624_patient2_T0_CD45_CD8_R2_cdna.fastq.gz
patient3_T0_CD45	SRR22857623	cd8_fastq_all/patient3_T0_CD45/SRR22857623_patient3_T0_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient3_T0_CD45/SRR22857623_patient3_T0_CD45_CD8_R2_cdna.fastq.gz
patient4_T0_CD45	SRR22857622	cd8_fastq_all/patient4_T0_CD45/SRR22857622_patient4_T0_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient4_T0_CD45/SRR22857622_patient4_T0_CD45_CD8_R2_cdna.fastq.gz
patient5_T0_CD45	SRR22857621	cd8_fastq_all/patient5_T0_CD45/SRR22857621_patient5_T0_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient5_T0_CD45/SRR22857621_patient5_T0_CD45_CD8_R2_cdna.fastq.gz
patient6_T0_CD45	SRR22857620	cd8_fastq_all/patient6_T0_CD45/SRR22857620_patient6_T0_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient6_T0_CD45/SRR22857620_patient6_T0_CD45_CD8_R2_cdna.fastq.gz
patient7_T0_CD45	SRR22857619	cd8_fastq_all/patient7_T0_CD45/SRR22857619_patient7_T0_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient7_T0_CD45/SRR22857619_patient7_T0_CD45_CD8_R2_cdna.fastq.gz
patient8_T0_CD45	SRR22857618	cd8_fastq_all/patient8_T0_CD45/SRR22857618_patient8_T0_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient8_T0_CD45/SRR22857618_patient8_T0_CD45_CD8_R2_cdna.fastq.gz
patient9_T0_CD45	SRR22857617	cd8_fastq_all/patient9_T0_CD45/SRR22857617_patient9_T0_CD45_CD8_R1_barcode_umi.fastq.gz	cd8_fastq_all/patient9_T0_CD45/SRR22857617_patient9_T0_CD45_CD8_R2_cdna.fastq.gz
